,SG_UF_RESIDENCIA,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_REDACAO
22,CE,2305506,Iguatu,0.0,607.2,615.4,0.0,160.0,120.0,120.0,540.0
23,CE,2307650,Maracanaú,501.3,503.9,514.3,541.7,120.0,200.0,120.0,720.0
24,CE,2308609,Tamboril,0.0,618.7,588.2,0.0,120.0,120.0,120.0,640.0
25,CE,2313500,Trairi,513.8,531.3,551.1,528.4,120.0,80.0,60.0,400.0
26,DF,5300108,Brasília,345.82222222222225,405.1222222222222,370.9888888888889,358.1777777777778,91.11111111111111,57.77777777777778,53.333333333333336,326.6666666666667
27,DF,5300108,Iporá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ES,3200805,Baixo Guandu,383.1,456.7,494.0,388.1,120.0,120.0,120.0,560.0
29,ES,3203163,Afonso Cláudio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,ES,3205200,Vila Velha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,GO,5211909,Jataí,181.33333333333334,222.9,207.23333333333335,228.13333333333333,46.666666666666664,40.0,40.0,166.66666666666666
32,MA,2103406,Coelho Neto,568.3,612.8,586.6,585.1,160.0,200.0,180.0,900.0
33,MA,2107506,Paço do Lumiar,411.9,639.0,537.4,604.9,160.0,200.0,200.0,960.0
34,MA,2111102,São João dos Patos,521.0,568.7,513.1,480.3,120.0,40.0,40.0,280.0
35,MA,2111300,São Luís,253.625,486.0,449.45,296.8,115.0,110.0,120.0,590.0
36,MG,3103900,Nova Serrana,552.7,621.0,554.6,475.6,140.0,120.0,120.0,640.0
37,MG,3106101,Juiz de Fora,0.0,563.8,512.5,0.0,120.0,40.0,60.0,380.0
38,MG,3106200,Belo Horizonte,520.95,635.3499999999999,609.45,531.75,120.0,80.0,80.0,450.0
39,MG,3106705,Betim,461.6,599.8,547.4,526.2,120.0,120.0,100.0,540.0
40,MG,3119401,Coronel Fabriciano,436.0,474.7,564.6,454.9,100.0,120.0,100.0,500.0
41,MG,3122306,Divinópolis,0.0,588.3,553.7,0.0,80.0,120.0,120.0,560.0
42,MG,3131158,Ipatinga,436.7,567.0,439.7,521.0,100.0,120.0,100.0,520.0
43,MG,3133808,Itaúna,521.8,598.9,584.6,530.4,140.0,120.0,160.0,580.0
44,MG,3134103,Aimorés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,MG,3135100,Janaúba,508.5,595.4,481.4,565.3,140.0,40.0,40.0,380.0
46,MG,3144102,Muzambinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MG,3153202,Curvelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,MG,3154606,Belo Horizonte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,MG,3170206,Uberlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,MG,3170800,Várzea da Palma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
